pos_x, pos_y, theta (rad)
-0.402077, 0.935501, 0.291666
-0.403574, 0.941146, 0.293333
-0.405061, 0.946792, 0.295
-0.40654, 0.952441, 0.296666
-0.408008, 0.958093, 0.298333
-0.409468, 0.963746, 0.3
-0.410918, 0.969403, 0.301666
-0.412358, 0.975061, 0.303333
-0.413789, 0.980722, 0.305
-0.415211, 0.986386, 0.306666
-0.416623, 0.992052, 0.308333
-0.418026, 0.997721, 0.31
-0.419419, 1.00339, 0.311666
-0.420803, 1.00906, 0.313333
-0.422177, 1.01474, 0.315
-0.423542, 1.02042, 0.316666
-0.424897, 1.0261, 0.318333
-0.426243, 1.03178, 0.32
-0.42758, 1.03746, 0.321666
-0.428907, 1.04315, 0.323333
-0.430224, 1.04884, 0.325
-0.431532, 1.05453, 0.326666
-0.432831, 1.06022, 0.328333
-0.43412, 1.06592, 0.33
-0.4354, 1.07161, 0.331666
-0.43667, 1.07731, 0.333333
-0.43793, 1.08301, 0.335
-0.439181, 1.08872, 0.336666
-0.440423, 1.09442, 0.338333
-0.441655, 1.10013, 0.34
-0.442878, 1.10584, 0.341666
-0.444091, 1.11155, 0.343333
-0.445294, 1.11727, 0.345
-0.446488, 1.12298, 0.346666
-0.447672, 1.1287, 0.348333
-0.448848, 1.13442, 0.35
-0.450013, 1.14014, 0.351666
-0.451169, 1.14587, 0.353333
-0.452315, 1.15159, 0.355
-0.453452, 1.15732, 0.356666
-0.454579, 1.16305, 0.358333
-0.455697, 1.16878, 0.36
-0.456805, 1.17451, 0.361666
-0.457903, 1.18025, 0.363333
-0.458992, 1.18599, 0.365
-0.460072, 1.19172, 0.366666
-0.461142, 1.19746, 0.368333
-0.462202, 1.20321, 0.37
-0.463253, 1.20895, 0.371666
-0.464294, 1.2147, 0.373333
-0.465325, 1.22044, 0.375
-0.466347, 1.22619, 0.376666
-0.46736, 1.23194, 0.378333
-0.468362, 1.2377, 0.38
-0.469356, 1.24345, 0.381666
-0.470339, 1.24921, 0.383333
-0.471313, 1.25496, 0.385
-0.472278, 1.26072, 0.386666
-0.473233, 1.26648, 0.388333
-0.474178, 1.27225, 0.39
-0.475114, 1.27801, 0.391666
-0.47604, 1.28377, 0.393333
-0.476956, 1.28954, 0.395
-0.477863, 1.29531, 0.396666
-0.47876, 1.30108, 0.398333
-0.479648, 1.30685, 0.4
-0.480525, 1.31262, 0.401666
-0.481394, 1.3184, 0.403333
-0.482253, 1.32417, 0.405
-0.483102, 1.32995, 0.406666
-0.483941, 1.33573, 0.408333
-0.484771, 1.34151, 0.41
-0.485591, 1.34729, 0.411666
-0.486402, 1.35307, 0.413333
-0.487203, 1.35886, 0.415
-0.487994, 1.36464, 0.416666
-0.488776, 1.37043, 0.418333
-0.489547, 1.37622, 0.42
-0.49031, 1.38201, 0.421666
-0.491063, 1.3878, 0.423333
-0.491806, 1.39359, 0.425
