pos_x, pos_y, theta (rad)
0.13133, 1.30359, 0.200813
0.132839, 1.31098, 0.201967
0.134356, 1.31837, 0.203121
0.135882, 1.32576, 0.204275
0.137417, 1.33314, 0.205429
0.138959, 1.34053, 0.206583
0.140511, 1.34791, 0.207737
0.142071, 1.35529, 0.208891
0.143639, 1.36267, 0.210045
0.145216, 1.37004, 0.211199
0.146801, 1.37741, 0.212353
0.148396, 1.38479, 0.213508
0.149998, 1.39216, 0.214662
0.151608, 1.39953, 0.215816
0.153228, 1.40689, 0.21697
0.154856, 1.41426, 0.218124
0.156493, 1.42162, 0.219278
0.158137, 1.42898, 0.220432
0.159791, 1.43634, 0.221586
0.161453, 1.4437, 0.22274
0.163123, 1.45105, 0.223894
0.164802, 1.45841, 0.225048
0.16649, 1.46576, 0.226203
0.168185, 1.47311, 0.227357
0.16989, 1.48045, 0.228511
0.171603, 1.4878, 0.229665
0.173324, 1.49514, 0.230819
0.175054, 1.50248, 0.231973
0.176792, 1.50982, 0.233127
0.178538, 1.51716, 0.234281
0.180294, 1.5245, 0.235435
0.182057, 1.53183, 0.236589
0.18383, 1.53916, 0.237744
0.18561, 1.54649, 0.238898
0.187399, 1.55382, 0.240052
0.189197, 1.56114, 0.241206
0.191003, 1.56847, 0.24236
0.192817, 1.57579, 0.243514
0.19464, 1.58311, 0.244668
0.196471, 1.59042, 0.245822
0.198311, 1.59774, 0.246976
0.200159, 1.60505, 0.24813
0.202015, 1.61236, 0.249284
0.20388, 1.61967, 0.250439
0.205754, 1.62698, 0.251593
0.207636, 1.63428, 0.252747
0.209526, 1.64158, 0.253901
0.211425, 1.64888, 0.255055
0.213332, 1.65618, 0.256209
0.215248, 1.66347, 0.257363
0.217172, 1.67077, 0.258517
0.219104, 1.67806, 0.259671
0.221045, 1.68535, 0.260825
0.222994, 1.69263, 0.26198
0.224952, 1.69992, 0.263134
0.226918, 1.7072, 0.264288
0.228893, 1.71448, 0.265442
0.230875, 1.72175, 0.266596
0.232867, 1.72903, 0.26775
0.234866, 1.7363, 0.268904
0.236875, 1.74357, 0.270058
0.238891, 1.75084, 0.271212
0.240915, 1.75811, 0.272366
0.242949, 1.76537, 0.27352
0.24499, 1.77263, 0.274675
0.24704, 1.77989, 0.275829
0.249099, 1.78714, 0.276983
0.251165, 1.7944, 0.278137
0.253241, 1.80165, 0.279291
0.255324, 1.8089, 0.280445
0.257416, 1.81615, 0.281599
0.259516, 1.82339, 0.282753
0.261625, 1.83063, 0.283907
0.263741, 1.83787, 0.285061
0.265867, 1.84511, 0.286216
0.268, 1.85234, 0.28737
0.270143, 1.85957, 0.288524
0.272293, 1.8668, 0.289678
0.274451, 1.87403, 0.290832
0.276618, 1.88126, 0.291986
0.278793, 1.88848, 0.29314
0.280977, 1.8957, 0.294294
0.283169, 1.90291, 0.295448
0.285369, 1.91013, 0.296602
0.287578, 1.91734, 0.297756
0.289795, 1.92455, 0.298911
0.29202, 1.93176, 0.300065
0.294254, 1.93896, 0.301219
0.296496, 1.94616, 0.302373
0.298746, 1.95336, 0.303527
0.301004, 1.96056, 0.304681
0.303271, 1.96775, 0.305835
0.305546, 1.97494, 0.306989
0.30783, 1.98213, 0.308143
0.310122, 1.98932, 0.309297
0.312421, 1.9965, 0.310452
