scene_number,path,rotationSpeed,stop_angle,pause_time,volume_start,volume_poured,volume_received,spilled_volume
26,../../output/CellFlask/Flask_35_600_2,0.030000,2.000000,0.600000,34.032500,0.057500,0.020000,0.037500
27,../../output/CellFlask/Flask_35_600_4,0.030000,4.000000,0.600000,34.032500,0.085000,0.002500,0.082500
28,../../output/CellFlask/Flask_35_600_6,0.030000,6.000000,0.600000,34.032500,0.090000,0.002500,0.087500
29,../../output/CellFlask/Flask_35_600_8,0.030000,8.000000,0.600000,34.032500,0.100000,0.010000,0.090000
30,../../output/CellFlask/Flask_35_600_10,0.030000,10.000000,0.600000,34.032500,0.560000,0.465000,0.095000
31,../../output/CellFlask/Flask_35_600_12,0.030000,12.000000,0.600000,34.032500,1.740000,1.642500,0.097500
32,../../output/CellFlask/Flask_35_600_14,0.030000,14.000000,0.600000,34.032500,3.642500,3.540000,0.102500
33,../../output/CellFlask/Flask_35_600_16,0.030000,16.000000,0.600000,34.032500,6.050000,5.945000,0.105000
34,../../output/CellFlask/Flask_35_600_18,0.030000,18.000000,0.600000,34.032500,9.200000,9.100000,0.100000
35,../../output/CellFlask/Flask_35_600_20,0.030000,20.000000,0.600000,34.032500,12.867500,12.757500,0.110000
36,../../output/CellFlask/Flask_35_600_22,0.030000,22.000000,0.600000,34.032500,16.559999,16.445000,0.115000
37,../../output/CellFlask/Flask_35_600_24,0.030000,24.000000,0.600000,34.032500,20.127501,20.004999,0.122500
38,../../output/CellFlask/Flask_35_600_26,0.030000,26.000000,0.600000,34.032500,23.065001,22.932501,0.132500
39,../../output/CellFlask/Flask_35_600_28,0.030000,28.000000,0.600000,34.032500,25.422501,25.275000,0.147500
40,../../output/CellFlask/Flask_35_600_30,0.030000,30.000000,0.600000,34.032500,27.272499,27.100000,0.172500
41,../../output/CellFlask/Flask_35_600_32,0.030000,32.000000,0.600000,34.032500,28.635000,28.445000,0.190000
42,../../output/CellFlask/Flask_35_600_34,0.030000,34.000000,0.600000,34.032500,29.842501,29.650000,0.192500
43,../../output/CellFlask/Flask_35_600_36,0.030000,36.000000,0.600000,34.032500,30.670000,30.459999,0.210000
44,../../output/CellFlask/Flask_35_600_38,0.030000,38.000000,0.600000,34.032500,31.312500,31.087500,0.225000
45,../../output/CellFlask/Flask_35_600_40,0.030000,40.000000,0.600000,34.032500,31.860001,31.622499,0.237500
