pos_x, pos_y, theta (rad)
0.00671148, 0.296109, 0.0453238
0.0067935, 0.297914, 0.0456002
0.00687599, 0.299718, 0.0458765
0.00695896, 0.301522, 0.0461529
0.00704288, 0.303327, 0.0464293
0.00712729, 0.305131, 0.0467056
0.00721169, 0.306934, 0.046982
0.00729656, 0.308739, 0.0472584
0.00738239, 0.310543, 0.0475347
0.00746822, 0.312347, 0.0478111
0.00755501, 0.314151, 0.0480875
0.00764227, 0.315955, 0.0483638
0.00772953, 0.31776, 0.0486402
0.00781727, 0.319563, 0.0489165
0.00790596, 0.321367, 0.0491929
0.00799513, 0.323172, 0.0494693
0.00808477, 0.324975, 0.0497456
0.0081749, 0.326779, 0.050022
0.0082655, 0.328583, 0.0502984
0.00835657, 0.330387, 0.0505747
0.00844812, 0.332191, 0.0508511
0.00854015, 0.333995, 0.0511275
0.00863266, 0.335798, 0.0514038
0.00872564, 0.337602, 0.0516802
0.0088191, 0.339406, 0.0519566
0.00891304, 0.341209, 0.0522329
0.00900793, 0.343013, 0.0525093
0.00910282, 0.344817, 0.0527856
0.00919819, 0.346621, 0.053062
0.00929451, 0.348424, 0.0533384
0.00939131, 0.350227, 0.0536147
0.00948811, 0.352032, 0.0538911
0.00958538, 0.353835, 0.0541675
0.00968361, 0.355639, 0.0544438
0.00978231, 0.357442, 0.0547202
0.00988102, 0.359245, 0.0549966
0.00998068, 0.361049, 0.0552729
0.0100803, 0.362852, 0.0555493
0.010181, 0.364655, 0.0558257
0.0102825, 0.366459, 0.056102
0.0103836, 0.368262, 0.0563784
0.0104856, 0.370066, 0.0566548
0.0105882, 0.371868, 0.0569311
0.0106912, 0.373672, 0.0572075
0.0107951, 0.375475, 0.0574838
0.0108991, 0.377278, 0.0577602
0.0110035, 0.379082, 0.0580366
0.0111084, 0.380884, 0.0583129
0.0112138, 0.382688, 0.0585893
0.0113201, 0.38449, 0.0588657
0.0114264, 0.386293, 0.059142
0.0115337, 0.388097, 0.0594184
0.011641, 0.389899, 0.0596948
0.0117488, 0.391703, 0.0599711
0.0118575, 0.393505, 0.0602475
0.0119662, 0.395308, 0.0605239
0.0120759, 0.397111, 0.0608002
0.0121861, 0.398913, 0.0610766
0.0122962, 0.400717, 0.0613529
0.0124073, 0.402519, 0.0616293
0.0125189, 0.404322, 0.0619057
0.0126309, 0.406125, 0.062182
0.0127435, 0.407928, 0.0624584
0.0128565, 0.40973, 0.0627348
0.01297, 0.411532, 0.0630111
0.0130839, 0.413335, 0.0632875
0.0131984, 0.415137, 0.0635639
0.0133133, 0.41694, 0.0638402
0.0134287, 0.418742, 0.0641166
0.0135446, 0.420545, 0.064393
0.0136614, 0.422347, 0.0646693
0.0137782, 0.42415, 0.0649457
0.0138955, 0.425952, 0.065222
0.0140138, 0.427754, 0.0654984
0.014132, 0.429557, 0.0657748
0.0142512, 0.431359, 0.0660511
0.0143704, 0.433161, 0.0663275
0.0144906, 0.434963, 0.0666039
0.0146108, 0.436766, 0.0668802
0.0147319, 0.438567, 0.0671566
0.0148535, 0.44037, 0.067433
0.0149751, 0.442172, 0.0677093
0.0150981, 0.443974, 0.0679857
0.0152206, 0.445776, 0.0682621
0.0153441, 0.447577, 0.0685384
0.0154681, 0.44938, 0.0688148
0.0155926, 0.451181, 0.0690911
0.0157175, 0.452983, 0.0693675
0.0158429, 0.454785, 0.0696439
0.0159688, 0.456587, 0.0699202
0.0160952, 0.458388, 0.0701966
0.016222, 0.46019, 0.070473
0.0163493, 0.461992, 0.0707493
0.0164776, 0.463794, 0.0710257
0.0166059, 0.465595, 0.0713021
0.0167346, 0.467397, 0.0715784
0.0168643, 0.469198, 0.0718548
0.016994, 0.471, 0.0721312
0.0171247, 0.472801, 0.0724075
0.0172558, 0.474603, 0.0726839
0.0173869, 0.476404, 0.0729603
0.017519, 0.478206, 0.0732366
0.0176516, 0.480006, 0.073513
0.0177841, 0.481808, 0.0737893
0.0179176, 0.483609, 0.0740657
0.0180511, 0.485411, 0.0743421
0.0181856, 0.487211, 0.0746184
0.018321, 0.489013, 0.0748948
0.018456, 0.490813, 0.0751712
0.0185919, 0.492615, 0.0754475
0.0187283, 0.494415, 0.0757239
0.0188656, 0.496217, 0.0760003
0.0190024, 0.498017, 0.0762766
0.0191407, 0.499819, 0.076553
0.019279, 0.501619, 0.0768294
