pos_x, pos_y, theta (rad)
0.0255771, 0.577632, 0.0885001
0.0258665, 0.580887, 0.0890001
0.0261579, 0.584142, 0.0895001
0.0264506, 0.587396, 0.0900001
0.0267453, 0.590651, 0.0905001
0.0270414, 0.593904, 0.0910001
0.0273395, 0.597158, 0.0915001
0.0276384, 0.600412, 0.0920001
0.0279393, 0.603666, 0.0925001
0.0282421, 0.60692, 0.0930001
0.0285463, 0.610173, 0.0935001
0.028852, 0.613427, 0.0940001
0.02916, 0.61668, 0.0945001
0.029469, 0.619933, 0.0950001
0.0297799, 0.623186, 0.0955001
0.0300922, 0.626439, 0.0960001
0.030406, 0.629691, 0.0965001
0.0307221, 0.632944, 0.0970001
0.0310392, 0.636196, 0.0975001
0.0313582, 0.639448, 0.0980001
0.0316787, 0.6427, 0.0985001
0.032001, 0.645952, 0.0990001
0.0323248, 0.649204, 0.0995001
0.03265, 0.652455, 0.1
0.0329771, 0.655706, 0.1005
0.0333056, 0.658957, 0.101
0.0336361, 0.662209, 0.1015
0.033968, 0.66546, 0.102
0.0343018, 0.668711, 0.1025
0.0346365, 0.671961, 0.103
0.0349736, 0.675211, 0.1035
0.0353122, 0.678461, 0.104
0.0356522, 0.681711, 0.1045
0.0359936, 0.684961, 0.105
0.0363369, 0.68821, 0.1055
0.0366817, 0.691461, 0.106
0.0370283, 0.69471, 0.1065
0.0373764, 0.697959, 0.107
0.0377264, 0.701207, 0.1075
0.0380778, 0.704456, 0.108
0.0384307, 0.707705, 0.1085
0.0387855, 0.710954, 0.109
0.0391417, 0.714202, 0.1095
0.0394998, 0.717449, 0.11
0.0398593, 0.720697, 0.1105
0.0402203, 0.723946, 0.111
0.0405831, 0.727193, 0.1115
0.0409474, 0.73044, 0.112
0.0413136, 0.733687, 0.1125
0.0416808, 0.736934, 0.113
0.0420504, 0.740181, 0.1135
0.0424213, 0.743427, 0.114
0.0427938, 0.746674, 0.1145
0.0431681, 0.74992, 0.115
0.0435438, 0.753166, 0.1155
0.0439215, 0.756413, 0.116
0.0443001, 0.759658, 0.1165
0.0446811, 0.762903, 0.117
0.045063, 0.766149, 0.1175
0.0454469, 0.769394, 0.118
0.0458322, 0.772638, 0.1185
0.0462193, 0.775884, 0.119
0.0466084, 0.779128, 0.1195
0.0469985, 0.782372, 0.12
0.0473909, 0.785616, 0.1205
0.0477843, 0.78886, 0.121
0.0481796, 0.792104, 0.1215
0.0485768, 0.795347, 0.122
0.048975, 0.798591, 0.1225
0.0493751, 0.801834, 0.123
0.049777, 0.805077, 0.1235
0.05018, 0.80832, 0.124
0.0505853, 0.811563, 0.1245
0.050992, 0.814804, 0.125
0.0514002, 0.818047, 0.1255
0.0518098, 0.821288, 0.126
0.0522213, 0.824531, 0.1265
0.0526342, 0.827771, 0.127
0.0530491, 0.831013, 0.1275
0.0534654, 0.834254, 0.128
0.0538836, 0.837495, 0.1285
0.0543032, 0.840735, 0.129
0.0547242, 0.843976, 0.1295
0.0551467, 0.847216, 0.13
0.0555711, 0.850456, 0.1305
0.0559969, 0.853696, 0.131
0.0564246, 0.856936, 0.1315
0.0568542, 0.860175, 0.132
0.0572848, 0.863414, 0.1325
0.0577178, 0.866652, 0.133
0.0581517, 0.869891, 0.1335
0.0585876, 0.87313, 0.134
0.0590248, 0.876369, 0.1345
0.0594635, 0.879606, 0.135
0.0599046, 0.882844, 0.1355
0.0603466, 0.886082, 0.136
0.0607905, 0.889319, 0.1365
