inside_count	theta (degrees)	time (s)
48330	0.0286479	0.0161819
48330	0.0572957	0.0328484
48330	0.0859435	0.0495148
48329	0.114591	0.0661812
48329	0.143239	0.0828476
48329	0.171887	0.099514
48327	0.200535	0.11618
48326	0.229183	0.132847
48325	0.257831	0.149513
48325	0.286479	0.16618
48325	0.315126	0.182846
48325	0.343774	0.199512
48325	0.372422	0.216179
48325	0.40107	0.232845
48325	0.429718	0.249512
48325	0.458366	0.266178
48325	0.487013	0.282845
48324	0.515661	0.299511
48324	0.544309	0.316177
48324	0.572957	0.332844
48324	0.601605	0.34951
48321	0.630253	0.366177
48321	0.658901	0.382843
48321	0.687548	0.399509
48318	0.716196	0.416176
48318	0.744844	0.432842
48318	0.773492	0.449509
48318	0.80214	0.466175
48318	0.830788	0.482841
48317	0.859436	0.499508
48317	0.888083	0.516174
48317	0.916731	0.532841
48317	0.945379	0.549507
48317	0.974027	0.566174
48317	1.00267	0.58284
48317	1.03132	0.599506
48317	1.05997	0.616173
48317	1.08862	0.632839
48317	1.11727	0.649506
48317	1.14591	0.666172
48316	1.17456	0.682838
48316	1.20321	0.699505
48316	1.23186	0.716171
48316	1.2605	0.732838
48316	1.28915	0.749504
48316	1.3178	0.766171
48316	1.34645	0.782837
48316	1.3751	0.799503
48316	1.40374	0.81617
48315	1.43239	0.832836
48315	1.46104	0.849503
48314	1.48969	0.866169
48314	1.51834	0.882835
48313	1.54698	0.899502
48313	1.57563	0.916168
48313	1.60428	0.932835
48313	1.63293	0.949501
48313	1.66157	0.966167
48313	1.69022	0.982834
48313	1.71887	0.9995
48313	1.74752	1.01617
48312	1.77617	1.03283
48310	1.80481	1.0495
48310	1.83346	1.06617
48310	1.86211	1.08283
48310	1.89076	1.0995
48310	1.9194	1.11617
48310	1.94805	1.13283
48310	1.9767	1.1495
48310	1.9767	1.16616
48310	1.9767	1.18283
48310	1.9767	1.1995
48310	1.9767	1.21616
48310	1.9767	1.23283
48310	1.9767	1.2495
48310	1.9767	1.26616
48309	1.9767	1.28283
48309	1.9767	1.2995
48309	1.9767	1.31616
48309	1.9767	1.33283
48309	1.9767	1.34949
48309	1.9767	1.36616
48309	1.9767	1.38283
48309	1.9767	1.39949
48309	1.9767	1.41616
48309	1.9767	1.43283
48308	1.9767	1.44949
48308	1.9767	1.46616
48308	1.9767	1.48283
48308	1.9767	1.49949
48308	1.9767	1.51616
48308	1.9767	1.53283
48308	1.9767	1.54949
48308	1.9767	1.56616
48308	1.9767	1.58282
48308	1.9767	1.59949
48307	1.9767	1.61616
48307	1.9767	1.63282
48307	1.9767	1.64949
48307	1.9767	1.66616
48305	1.9767	1.68282
48305	1.9767	1.69949
48305	1.9767	1.71616
48305	1.9767	1.73282
48305	1.9767	1.74949
48305	1.9767	1.76616
48304	1.94805	1.78282
48303	1.9194	1.79949
48303	1.89076	1.81615
48303	1.86211	1.83282
48303	1.83346	1.84949
48303	1.80481	1.86615
48303	1.77617	1.88282
48303	1.74752	1.89949
48302	1.71887	1.91615
48302	1.69022	1.93282
48302	1.66157	1.94949
48301	1.63293	1.96615
48301	1.60428	1.98282
48300	1.57563	1.99949
48300	1.54698	2.01615
48300	1.51834	2.03282
48300	1.48969	2.04948
48300	1.46104	2.06615
48299	1.43239	2.08282
48299	1.40374	2.09948
48299	1.3751	2.11615
48299	1.34645	2.13282
48298	1.3178	2.14948
48298	1.28915	2.16615
48298	1.2605	2.18282
48298	1.23186	2.19948
48298	1.20321	2.21615
48298	1.17456	2.23281
48298	1.14591	2.24948
48298	1.11727	2.26615
48298	1.08862	2.28281
48298	1.05997	2.29948
48297	1.03132	2.31615
48297	1.00267	2.33281
48297	0.974027	2.34948
48297	0.945379	2.36615
48297	0.916731	2.38281
48297	0.888083	2.39948
48297	0.859436	2.41615
48297	0.830788	2.43281
48297	0.80214	2.44948
48297	0.773492	2.46614
48297	0.744844	2.48281
48297	0.716196	2.49948
48296	0.687548	2.51614
48296	0.658901	2.53281
48294	0.630253	2.54948
48294	0.601605	2.56614
48294	0.572957	2.58281
48294	0.544309	2.59948
48294	0.515661	2.61614
48294	0.487013	2.63281
48294	0.458366	2.64948
48294	0.429718	2.66614
48294	0.40107	2.68281
48294	0.372422	2.69947
48294	0.343774	2.71614
48294	0.315126	2.73281
48294	0.286478	2.74947
48294	0.257831	2.76614
48294	0.229183	2.78281
48294	0.200535	2.79947
48293	0.171887	2.81614
48293	0.143239	2.83281
48293	0.114591	2.84947
48293	0.0859435	2.86614
48293	0.0572956	2.8828
48293	0.0286478	2.89947
48293	-1.00051e-07	2.91614
48293	0	2.9328
48293	0	2.94947
48293	0	2.96614
48293	0	2.9828
48293	0	2.99947
48293	0	3.01614
48293	0	3.0328
48293	0	3.04947
48293	0	3.06614
48293	0	3.0828
48293	0	3.09947
48293	0	3.11613
48292	0	3.1328
48292	0	3.14947
48292	0	3.16613
48292	0	3.1828
48292	0	3.19947
48292	0	3.21613
48292	0	3.2328
48292	0	3.24947
48292	0	3.26613
48290	0	3.2828
48290	0	3.29947
48290	0	3.31613
48290	0	3.3328
48290	0	3.34946
48290	0	3.36613
48290	0	3.3828
48290	0	3.39946
48289	0	3.41613
48289	0	3.4328
48289	0	3.44946
48289	0	3.46613
48288	0	3.4828
48288	0	3.49946
48288	0	3.51613
48288	0	3.53279
48288	0	3.54946
48286	0	3.56613
48285	0	3.58279
48285	0	3.59946
48285	0	3.61613
48285	0	3.63279
48283	0	3.64946
48282	0	3.66613
48278	0	3.68279
48278	0	3.69946
48278	0	3.71613
48278	0	3.73279
48278	0	3.74946
48277	0	3.76612
48277	0	3.78279
48277	0	3.79946
48277	0	3.81612
48277	0	3.83279
48277	0	3.84946
48277	0	3.86612
48276	0	3.88279
48276	0	3.89946
48276	0	3.91612
48276	0	3.93279
